district	schoolName
237	411,441,538,687,1861,2045,2150,2188,2244,2515,2597,2690,3074,3075,3088,3674,3720,3778,4679,5065,5763,5794,6360,6633,6872,7363,7823,8311,8836,8837,9205,9827
238	1212,1213,1214,1215,3093,3094,3095,6239,6250
239	3097,4410,4908,5271,5559,5771,5977,8126,10009,10061
240	3096,4365,6666
241	2313,3111,3112,3327,3489,4370
242	4334
243	3141,3142
244	3148
245	7211
246	574,2790,3162,3163,3164,3165,3922
247	992,1428,2048,2049,2050,2051,2052,2905,3197,3198,3199,3200,3201,3202,3600,4803,5790,6007,6339,6350,6600,7129,7472,7591,7743,7938,8163,8939,9128,9659,9705,9743,9954,10041
248	197,282,284,822,962,1385,1669,1812,1815,2216,2272,2461,2491,3203,3204,3205,3206,3877,3975,3990,4667,4671,4694,5271,5294,5585,5616,6531,6619,6707,6955,7291,7505,7550,8321,8346,8421,8599,8610,8853,9036,9200,9641,9805,9875
249	3235
250	3237,3238
251	2247,3240,3241,6576,7550,9172
252	3246,4017,6259,8433
253	3249,6483,7555,8566,9199
254	3248,3250
255	2109,2116,3378,3539,5785,6427,6699,7234,9000,9007
256	3266,3267,4585,5573,5726
257	3305
258	105,1102,1416,1929,2057,3305,3390,4451,4816,4963,5395,5849,7442,7755,7794,7798,8231,8396,8795,8973,9695,10093
259	363,513,685,1108,1145,1254,1589,1804,2592,3234,3314,3334,3389,3545,3574,3896,4343,4376,4422,4515,4530,4537,4540,4560,4616,4628,5130,6056,6057,6061,6449,6595,6722,7027,7071,7777,8766,9167,9213,9448,9655,9760,9771,9783,10010,10204
260	1976,2203,3338,4165,5490,6105
261	3346
262	3348,3349
263	920,942,1424,2156,2703,4231,4740,6130,6406,7441,9633
264	127,157,160,433,592,682,684,698,970,1191,1192,1218,1326,1332,1489,1490,1577,1955,2039,2275,2310,2331,2408,2413,2662,2677,2698,2700,2704,2838,2950,2953,3045,3056,3154,3180,3239,3245,3337,3351,3381,3527,3799,3944,4000,4122,4159,4346,4372,4391,4461,4732,4733,4773,4787,4834,4854,5011,5079,5449,5577,5584,5690,5815,5830,5857,5975,6084,6204,6275,6496,6582,7139,7149,7154,7314,7385,7780,7813,7845,7906,7945,8256,8271,8321,8414,8500,8603,8734,8896,8908,8926,9041,9069,9145,9195,9323,9485,9526,9597,9627,9804,9814,10079,10090,10115,10122,10203
265	1955,2443,2923,3369,7392
266	81,823,1971,2227,3134,3607,4020,4945,4959,5616,6440,6792,6891,7512,7633,7749,7823,8913,9429,10134
267	1177,3376,3377,4888,4927,4938,8550,8887,9294
268	3086,4965,5641,7713,7767,9481,9565
269	3001,3404,5195
270	62,142,153,170,1019,1136,1154,1245,1872,2484,2556,2582,2614,2725,2926,2956,3004,3008,3048,3119,3411,3412,3471,3531,4009,4112,4367,4416,4429,4562,4573,4609,4920,4974,5151,5170,5256,5371,5438,5455,5578,5667,5709,5924,6070,6198,6426,6689,6909,7034,7075,7308,7406,7466,7723,7895,8235,8240,8719,8758,8895,8926,9156,9717,10132
271	3430
272	977,2882,3438,4088,6157,7605,8156,9057,9988
273	1170,1609,3450,3667,6227,8365
274	3469
275	3523,3524
276	475,1148,1786,2555,2795,2829,3533,3534,3535,3536,3564,5025,5473,6261,7807,8538,8601
277	73,397,703,883,1622,1874,1935,1961,2157,2238,2573,2821,3568,3578,4000,4193,4520,4562,4569,4875,5703,6125,6222,6879,7405,7888,9131,9143,9146,9492,9558,10160
278	2194,3569,3594,4885,8159,8304,8728,8931,9947,10035
279	3575,8834,9718,10004
280	3576
281	3598,7250
282	3604,8941
283	7216
284	1382,3971,8077,9256,9257
285	9814
286	1072,2739,2862,3207,3627,4128,4354,4706,4910,5108,6236
287	3089,3634,3635,4886,8540
288	3684
289	834,3693,3695,5489,5642
290	3088,3680,3723,3725,4198,5155,5845,7229,7230,7421,9440,9701
291	1629,5766,6598,9690
292	3737
293	2987,3740,5849,8957,10079
294	1672,2637,2735,2736,2753,2831,3218,3220,3678,3749,3970,6128,6219,8227,8743,8744,9436,9856
295	4741,5764
296	3760
297	3769,3770,3771,7204,7206,7828
298	709,979,1302,1563,2356,3076,3554,3673,3704,3780,4858,4918,5044,5367,5368,5414,5427,5931,6364,6435,6788,6937,6941,7381,8449,8618,8619,8908,9058,9437,9453,9465,9816,10034,10048,10101,10171
299	2849,3798,3799,3800
300	3507,3799,3813,3814,4457,4531,4621,5119,5223,5741,6095,7843,10159
301	2612,3811,3812,3815,3816,3817,8428
302	3825
303	3828,3829
304	3881
305	1171,3018,3911,3912,4453,4852,7317,7447,9776,10199,10251
306	467,1052,1084,1090,1199,1635,1733,2629,2685,2686,2820,3088,3092,3546,3613,3846,3919,3920,4065,4272,4846,5098,5343,5358,5749,6254,6949,7010,7946,8257,8459,8607,8624,8793,8821,8829,9071,9269,9364,10112
307	3172,3931,3932,3933,3934,5630
308	3945,3996
309	3967,7742
310	83,200,603,778,1549,2271,2424,3103,3368,3856,3957,3973,3974,4262,4395,5267,5865,7450,7501,8999,9441,9884,9900,9965,10091
311	4022,4023
312	1397,1448,1559,2100,2220,3019,4032,4033,4135,4629,4667,4801,4855,5214,5616,5927,5940,6041,6079,6612,7463,8841,9224
313	4037,4038,4039
314	2172,6507,8573,9858
315	1948,2827,4110,4111,4345
316	1287,1288,1621,3393,4127,4129,4940,5823,7412,7496,8897
317	2900,4150,4151
318	4185,6125,9591
319	4200
320	454,569,1680,2595,3318,4137,4223,4660,7034,7612,8880
321	2427,2894,3269,4226,4227
322	2730,6542,6543,6544
323	151,3005,4247,4347,4543,4576,4623,4765,7435,7948
324	1898,2700,3261,4235,5680,6680,9498,9916
325	4254
326	4264
327	872,3292,4273,4279,8983
328	4281
329	418,886,930,1590,1752,1823,1893,2187,3282,3645,4068,4220,4256,4257,4306,4307,4711,4931,6094,6200,6626,9768,9974,9975,10172
330	4481
331	198,802,1023,1161,1401,1932,2139,2199,2221,2318,2623,2671,2751,3729,4340,4341,4467,4991,5872,6557,6558,6601,7240,7302,7306,7495,8236,8449,8575,8639,8788,8795,9326,9387,9388,9540,9688,9924,9941,10131,10132
332	4397
333	4437
334	3710,4439,4440,6609
335	464,884,2260,3137,3304,3415,3468,3507,4453,4529,5647,5699,6174,8926,9143,9157,9211,9908,10158
336	143,4462,6684,8862,9082,9166,9919
337	1474,4587,7808,10057
